리뷰
"매장직원 불친절 끝판왕
이런 스벅 매장 첨봄"
와우! 저렇게 좌석이 잘 배치될 줄이야... 진짜 자주 가야겠네요! ㅎㅎ
직원이 바꼈나요?? 사이렌오더 1번짼데 세월아네월아 기다림... 콜드브루 아메리카노 각각 주문했는데 담배재 맛이 남...
